Ingredient,Substitute,Context,Equivalent
A1 Sauce,1 ounce barbecue sauce,The category is: American condiments. This is a steak sauce similar to Pickapeppa and Heinz 57.,1 ounce A1 Sauce
A1 Sauce,1 ounce ketchup,The category is: American condiments. This is a steak sauce similar to Pickapeppa and Heinz 57.,1 ounce A1 Sauce
ababai,1 pound papaya,"The cuisine is: Chile. The category is: Other Exotic Tropical Fruit. Ababais resemble small papayas, and can be cooked or grilled without losing their shape. They're hard to find outside of Chile, where they're grown. This also holds its shape when cooked.",1 pound ababai
ababai,0.5 pounds mango,"The cuisine is: Chile. The category is: Other Exotic Tropical Fruit. Ababais resemble small papayas, and can be cooked or grilled without losing their shape. They're hard to find outside of Chile, where they're grown.",1 pound ababai
abalone,1 pound ormer,"The category is: Mollusks - Clams. Asian markets are a good place to find these. Prod them gently before buying to make sure they're alive. The smaller ones are better. Canned or dried abalones are acceptable substitutes for fresh in some dishes. Unopened canned abalone can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it. Smaller",1 each abalone
abalone,1 pound geoduck clam,"The category is: Mollusks - Clams. Asian markets are a good place to find these. Prod them gently before buying to make sure they're alive. The smaller ones are better. Canned or dried abalones are acceptable substitutes for fresh in some dishes. Unopened canned abalone can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it.",1 each abalone
abalone,1 each conch or other clams,"The category is: Mollusks - Clams. Asian markets are a good place to find these. Prod them gently before buying to make sure they're alive. The smaller ones are better. Canned or dried abalones are acceptable substitutes for fresh in some dishes. Unopened canned abalone can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it.",1 each abalone
abalone,1 pound chicken breast or turkey breast + 1 cup clam juice,"The category is: Mollusks - Clams. Asian markets are a good place to find these. Prod them gently before buying to make sure they're alive. The smaller ones are better. Canned or dried abalones are acceptable substitutes for fresh in some dishes. Unopened canned abalone can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it. Flatten skinned and boned chicken or turkey breasts with a mallet, marinate in clam juice and crushed garlic, then sauté.",1 each abalone
abiu,1 pound sapodilla,The category is: Sapotes. The round smooth yellow abiu fruit has a creamy texture and the sweet flavor of caramel or vanilla. It is native to the Amazon basin. The abiu fruit has a short shelf life.,1 pound abiu
Abondance,1 pound Gruyere,"The category is: Semi-Firm Cheeses. This French raw cow's milk cheese has a subtle, nutty flavor. It's a good melting cheese.",1 pound Abondance
Abondance,1 pound fontina,"The category is: Semi-Firm Cheeses. This French raw cow's milk cheese has a subtle, nutty flavor. It's a good melting cheese.",1 pound Abondance
Abondance,1 pound Appenzell,"The category is: Semi-Firm Cheeses. This French raw cow's milk cheese has a subtle, nutty flavor. It's a good melting cheese.",1 pound Abondance
absinthe,1 quart Herbsaint,"The category is: Liqueurs. This potent anise-flavored liqueur contains the narcotic herb wormwood, so it isn't available in most developed countries. If you wish to live dangerously, you might be able to find it in Spain.",1 quart absinthe
absinthe,1 quart Pernod,"The category is: Liqueurs. This potent anise-flavored liqueur contains the narcotic herb wormwood, so it isn't available in most developed countries. If you wish to live dangerously, you might be able to find it in Spain.",1 quart absinthe
absinthe,1 quart anisette,"The category is: Liqueurs. This potent anise-flavored liqueur contains the narcotic herb wormwood, so it isn't available in most developed countries. If you wish to live dangerously, you might be able to find it in Spain.",1 quart absinthe
abura-age,1 pound deep-fried tofu,"The category is: Soy Products. These are thin slices of tofu that have been deep-fat fried.  They can be cut open and filled with rice to make inari sushi, or used as a meat substitute in soups.  Before using, you should blanch the cakes twice, each time with fresh water, then press the moisture out when you drain them.  Abura-age is widely available in Asian markets, either in cans or fresh in cellophane packages.",1 pound abura-age
acai berry,1 ounce blueberry,The category is: Other Exotic Tropical Fruit. Acai berries are from the acai palm that is native to the Amazon Basin in Brazil. The small round dark purple fruit grows in clusters. Acai berries have a slight bitter taste. Long enjoyed in Brazil Acai berries have become increasing popular world wide over the last several decades. It is high in antioxidants.,1 ounce acai berry
acai berry,1 ounce blackberry,The category is: Other Exotic Tropical Fruit. Acai berries are from the acai palm that is native to the Amazon Basin in Brazil. The small round dark purple fruit grows in clusters. Acai berries have a slight bitter taste. Long enjoyed in Brazil Acai berries have become increasing popular world wide over the last several decades. It is high in antioxidants.,1 ounce acai berry
acerola,1 pound cherry,"The category is: Stone Fruit. These are very rich in vitamin C, and somewhat acidic. You can eat them out of hand, but they're better suited for making preserves.",1 pound acerola
acesulfame K,1 tablespoon advantame,The category is: Sugars. An artifical sweetner. Popular brands are Sunett and Sweet One.,1 tablespoon acesulfame K
acesulfame K,1 tablespoon aspartame,The category is: Sugars. An artifical sweetner. Popular brands are Sunett and Sweet One.,1 tablespoon acesulfame K
acesulfame K,1 tablespoon saccarin,The category is: Sugars. An artifical sweetner. Popular brands are Sunett and Sweet One.,1 tablespoon acesulfame K
acesulfame K,1 tablespoon sucralose,The category is: Sugars. An artifical sweetner. Popular brands are Sunett and Sweet One.,1 tablespoon acesulfame K
acesulfame K,1 tablespoon Neotame,The category is: Sugars. An artifical sweetner. Popular brands are Sunett and Sweet One.,1 tablespoon acesulfame K
achacha,1 pound mangosteen,The category is: Other Exotic Tropical Fruit. Achacha fruit is orange and has a sweet tart lemony taste. The fruit is oval and one to two inches in diameter. The achacha tree is native to the Amazon basin.,1 pound achacha
achacha,1 pound mango,The category is: Other Exotic Tropical Fruit. Achacha fruit is orange and has a sweet tart lemony taste. The fruit is oval and one to two inches in diameter. The achacha tree is native to the Amazon basin.,1 pound achacha
acidophilis milk,1 cup almond milk,The category is: Cultured Milk Products. Friendly bacteria is reintroduced into this milk after pasteurization.,1 cup acidophilis milk
acidophilis milk,1 cup milk 3.5%,The category is: Cultured Milk Products. Friendly bacteria is reintroduced into this milk after pasteurization.,1 cup acidophilis milk
acidulated water,4 cups water + 2 tablespoons lemon juice or vinegar,"The category is: Vinegars. This is water that's been mixed with a small amount of lemon juice or vinegar to make it slightly acidic. If you put freshly sliced fruits or vegetables in acidulated water, they won't darken.",4 cups acidulated water
acini di pepe,1 pound seme di melone,"The category is: Soup Pasta. Acini di pepe (""peppercorns"") are a type of Italian soup pasta. They're very tiny, and usually served in broths. They're a classic ingredient in Italian wedding soup.",1 pound acini di pepe
acini di pepe,1 pound orzo,"The category is: Soup Pasta. Acini di pepe (""peppercorns"") are a type of Italian soup pasta. They're very tiny, and usually served in broths. They're a classic ingredient in Italian wedding soup.",1 pound acini di pepe
acini di pepe,1 pound soup pasta,"The category is: Soup Pasta. Acini di pepe (""peppercorns"") are a type of Italian soup pasta. They're very tiny, and usually served in broths. They're a classic ingredient in Italian wedding soup.",1 pound acini di pepe
ackee,1 pound avocado,"The category is: Other Exotic Tropical Fruit. The pulp of this fruit looks and tastes like scrambled eggs when cooked, and Jamaicans like to serve it with salt cod.   Look for cans of it in Caribbean markets.  
Warning:  Only the yellow pulp on ripe ackees is edible.  Eating underripe ackees that haven't opened on their own, or eating the pink portion of ripe ackees, can cause vomiting and death.",1 pound ackee
ackee,1 pound chickpea,"The category is: Other Exotic Tropical Fruit. The pulp of this fruit looks and tastes like scrambled eggs when cooked, and Jamaicans like to serve it with salt cod.   Look for cans of it in Caribbean markets.  
Warning:  Only the yellow pulp on ripe ackees is edible.  Eating underripe ackees that haven't opened on their own, or eating the pink portion of ripe ackees, can cause vomiting and death.",1 pound ackee
